day	stage	start	end	artist	openEnd
1	T-MOBILE	12:45	13:30	ASLEEP AT THE WHEEL	
1	T-MOBILE	14:15	15:00	GOOD NEIGHBOURS	
1	T-MOBILE	16:00	17:00	KING PRINCESS	
1	T-MOBILE	18:00	19:00	ROLE MODEL	
1	T-MOBILE	20:15		HOZIER	1
1	MILLER LITE	13:30	14:15	SPILL TAB	
1	MILLER LITE	15:00	16:00	JENSEN MCRAE	
1	MILLER LITE	17:00	18:00	FINNEAS & ASHE PRESENT THE FAVORS	
1	MILLER LITE	19:00	20:15	EMPIRE OF THE SUN	
1	BMI	13:30	14:15	LVVRS	
1	BMI	15:00	15:45	NICKY YOURE	
1	BMI	17:00	18:00	MOODY JOODY	
1	BEATBOX	14:00	14:45	HONESTAV	
1	BEATBOX	15:30	16:30	PANDA BEAR	
1	BEATBOX	17:30	18:30	MJ LENDERMAN	
1	BEATBOX	19:30	20:30	MAREN MORRIS	
1	TITO'S HANDMADE VODKA	13:15	14:00	THE ANIMEROS	
1	TITO'S HANDMADE VODKA	14:45	15:30	AMBLE	
1	TITO'S HANDMADE VODKA	16:30	17:30	VINCENT LIMA	
1	TITO'S HANDMADE VODKA	18:30	19:30	CONFIDENCE MAN	
1	TITO'S HANDMADE VODKA	20:00	22:00	SILENT DISCO	
1	BONUS TRACKS	14:45	15:15	FALL IN LOVE AGAIN AND AGAIN	
1	BONUS TRACKS	16:30	17:00	COWBOY CAN CAN	
1	BONUS TRACKS	18:30	19:00	LIFE OF A SHOWGIRL WITH DJ CASSANDRA	
1	LADY BIRD	14:00	14:45	CHANCE EMERSON	
1	LADY BIRD	15:30	16:30	WILLOW AVALON	
1	LADY BIRD	17:30	18:30	BRISCOE	
1	LADY BIRD	19:30	20:30	DR. DOG	
1	AMERICAN EXPRESS	13:15	14:00	TIERA KENNEDY	
1	AMERICAN EXPRESS	14:45	15:30	TANNER USREY	
1	AMERICAN EXPRESS	16:30	17:30	DYLAN GOSSETT	
1	AMERICAN EXPRESS	18:30	19:30	CAGE THE ELEPHANT	
