artist	day	stage
$ami G	1	Beatbox Boombox Art Car
1991	2	Sea Of Wonder
999999999	2	The Looking Glass
AC Slater	2	Queen's Domain
ACRAZE	1	Queen's Domain
ALLEYCVT	2	Mad Hatter's Castle
Aly & Fila	2	Cheshire Woods
Andruss	2	Caterpillar's Garden
Astrix	2	Cheshire Woods
Audien	1	Caterpillar's Garden
b.	2	Beatbox Boombox Art Car
BARELY ALIVE B2B Kompany	2	Mad Hatter's Castle
Basstripper	1	Mad Hatter's Castle
Ben Nicky vs Darren Styles	1	Cheshire Woods
Blanke	1	Caterpillar's Garden
BOLO	2	Caterpillar's Garden
Boys Noize	1	The Looking Glass
Capochino	1	Mad Hatter's Castle
Cera Khin	1	The Looking Glass
Charlie Sparks	2	The Looking Glass
Cosmic Gate	2	Cheshire Woods
Country Night	1	Beatbox Boombox Art Car
Culture Shock B2B ÆON:MODE	2	Sea Of Wonder
Da Tweekaz	1	Cheshire Woods
Danny Avila	2	Queen's Domain
Dead X	1	Cheshire Woods
deadmau5	1	Queen's Domain
Deborah De Luca	1	The Looking Glass
Deeper Purpose	2	Caterpillar's Garden
Dimension	2	Mad Hatter's Castle
DJ Isaac	1	Cheshire Woods
DJ Pinke	1	Beatbox Boombox Art Car
DKT B2B Goldbrush	2	Beatbox Boombox Art Car
DØMINA	1	Cheshire Woods
Dr. Fresch	1	Mad Hatter's Castle
Duke Dumont	1	Queen's Domain
Egzod	1	Caterpillar's Garden
Estella Boersma	1	The Looking Glass
Excision	1	Queen's Domain
FJAAK	1	The Looking Glass
Friction	2	Sea Of Wonder
Friendly Fire	1	Sea Of Wonder
Gene Farris	1	Sea Of Wonder
Godlands	1	Mad Hatter's Castle
Habstrakt B2B JSTJR	2	Caterpillar's Garden
Habstrakt	1	Mad Hatter's Castle
HALIENE	1	Caterpillar's Garden
Héctor Oaks	1	The Looking Glass
HONÜ	2	Sea Of Wonder
Illenium	2	Queen's Domain
INFEKT	2	Mad Hatter's Castle
IZNYRS	2	Beatbox Boombox Art Car
Jackie Hollander	2	Caterpillar's Garden
Jake Silva	1	Queen's Domain
JAYV B2B Jazzy J	2	Beatbox Boombox Art Car
Jessica Audiffred	2	Mad Hatter's Castle
Jessica Audiffred B2B Nostalgix	1	Caterpillar's Garden
Jia	2	The Looking Glass
Johnny Chay	2	Beatbox Boombox Art Car
Joshwa	2	Caterpillar's Garden
JSTJR	1	Queen's Domain
Juelz	1	Mad Hatter's Castle
Justin Jay	2	Sea Of Wonder
Kai Wachi	2	Mad Hatter's Castle
Kaiyo	2	Queen's Domain
KIMMIC	2	Cheshire Woods
Kobosil	2	The Looking Glass
Lee Foss	1	Sea Of Wonder
Leisan	1	Sea Of Wonder
Levity	1	Queen's Domain
Line Dancing With The Redheaded Cowgirl	1	Beatbox Boombox Art Car
Loud Luxury	2	Queen's Domain
Louis The Child	1	Queen's Domain
Maddix	2	Cheshire Woods
Mark Knight	1	Sea Of Wonder
Me n ü	1	Queen's Domain
Mish	1	Cheshire Woods
MPH	2	Sea Of Wonder
Netsky	1	Caterpillar's Garden
Nifra	2	Cheshire Woods
Odd Mob	2	Caterpillar's Garden
Panteros666	2	Cheshire Woods
Paul van Dyk	2	Cheshire Woods
Pickle	1	Beatbox Boombox Art Car
Pocket	2	Sea Of Wonder
Pyke	2	Mad Hatter's Castle
Ram & Richard Durand present Digital Culture	2	Cheshire Woods
Recess	1	Beatbox Boombox Art Car
Reinier Zonneveld	2	The Looking Glass
RHOME	2	Beatbox Boombox Art Car
Ricky Retro	1	Beatbox Boombox Art Car
RL Grime	1	Mad Hatter's Castle
Roadhouse	1	Beatbox Boombox Art Car
Roger Sanchez	2	Caterpillar's Garden
Rooler	1	Cheshire Woods
Rossy	1	Mad Hatter's Castle
Roxy Ferrari	1	Beatbox Boombox Art Car
SABAI (K-Pop Set)	2	Beatbox Boombox Art Car
Said The Sky	1	Caterpillar's Garden
Sam Binga	2	Sea Of Wonder
Samplifire	2	Mad Hatter's Castle
San Pacho	2	Caterpillar's Garden
Seven Lions	2	Queen's Domain
Ship Wrek	1	Queen's Domain
Showtek Hardstyle Set	1	Cheshire Woods
Sota	2	Sea Of Wonder
Space 92	2	The Looking Glass
Supergloss	2	The Looking Glass
Svdden Death	2	Mad Hatter's Castle
Taylor Kade	1	Caterpillar's Garden
Teko	1	Sea Of Wonder
TFTI	2	Beatbox Boombox Art Car
Timmy Trumpet	2	Queen's Domain
Tita Lau	1	Sea Of Wonder
Tony Junior	1	Cheshire Woods
Valentino Khan	2	Queen's Domain
Vangar	2	Cheshire Woods
VOID	1	Sea Of Wonder
Walker & Royce B2B VNSSA	2	Caterpillar's Garden
Wax Motif	2	Caterpillar's Garden
Westend	1	Sea Of Wonder
WHIPPED CREAM	2	Queen's Domain
Whoo Kid	2	Sea Of Wonder
William Black	1	Caterpillar's Garden
With Løve	1	Caterpillar's Garden
Wooli	1	Mad Hatter's Castle
Wuki	2	Queen's Domain
Yellow Claw	1	Mad Hatter's Castle
Yosuf	1	Cheshire Woods
Zeds Dead	2	Mad Hatter's Castle
Zorza	1	The Looking Glass
SABAI	1	Caterpillar's Garden
