artist	day	stage
Amy Wiles	1	
Argy	2	
Astrix	1	
Ben Hemsley	1	
Ben Nicky presents Emotional Havoc	1	
Billy Gillies	1	
Blazy	1	
Bryan Kearney	2	
Burn In Noise	2	
Chicane (Classics Set)	1	
Chris Giuliano	1	
Coexist	2	
Cold Blue	2	
Cristoph + Innellea	2	
Darren Porter	2	
Darren Tate	1	
David Forbes	1	
Discovery Project	2	
Eli & Fur	2	
Ely Oaks	2	
Factor B & Lostly presents Lost Minds	1	
Faders	2	
Ferry Corsten	2	
Fish56Octagon	1	
Freedom Fighters	1	
Gareth Emery presents Cyberpunk	1	
Giorgia Angiuli	1	
Giuseppe Ottaviani	1	
GMS	1	
GVX	2	
Hel:sløwed	1	
Ilan Bluestone	1	
Jeffrey Sutorius (The Classics)	1	
John 00 Fleming	2	
John O'Callaghan	2	
Jordan Suckley	2	
Key4050	1	
Khromata	2	
Kristina Sky	1	
Lilly Palmer	2	
Mad Maxx	1	
Maddix	1	
Mandragora	2	
Mark Sherry	1	
Matty Ralph	1	
Maximizer	1	
Miss Monique	2	
Nifra	1	
nilsix	1	
NOVAH	2	
Olly James	2	
Omiki + Vegas	1	
Paul Oakenfold	2	
Paul van Dyk + Aly & Fila	1	
Ranji	2	
Realize	2	
Rising Dust	2	
Roman Messer	2	
Sarah de Warren	1	
Shingo Nakamura	2	
SOCIETY	2	
Space 92	2	
SUPERSTRINGS	1	
T78	2	
Taylor Torrence	1	
Thomas Schumacher	2	
Tiësto (Trance Set)	2	
Trance Wax	2	
Tristan	1	
Victor Ruiz	2	
Vini Vici	2	
Will Atkinson	1	
