day	stage	start	end	artist	settimeId	timeSource	captureTimestamp
1	Kinetic Field	04:13	05:28	Gorgon City	40169	printed	20250611072342
1	Kinetic Field	03:00	04:10	DJ Snake	40153	printed	20250611072342
1	Kinetic Field	02:37	02:57	Dom Dolla B2B Chase & Status	42121	printed	20250611072342
1	Kinetic Field	01:47	02:37	Dom Dolla	40154	printed	20250611072342
1	Kinetic Field	01:41	01:47	Fireworks	42096	printed	20250611072342
1	Kinetic Field	00:31	01:41	Alesso	40079	printed	20250611072342
1	Kinetic Field	23:18	00:28	Sara Landry	40262	printed	20250611072342
1	Kinetic Field	22:06	23:15	Deorro & Friends	40144	printed	20250611072342
1	Kinetic Field	21:00	22:00	Alok	40084	printed	20250611072342
1	Kinetic Field	20:00	21:00	Noizu	40233	printed	20250611072342
1	Kinetic Field	19:00	20:00	Lavern	40196	printed	20250611072342
1	Cosmic Meadow	04:15	05:30	NGHTMRE presents: MINDFULL	40230	printed	20250611072342
1	Cosmic Meadow	03:15	04:15	Yellow Claw	40301	printed	20250611072342
1	Cosmic Meadow	02:00	03:15	Crankdat	40134	printed	20250611072342
1	Cosmic Meadow	00:30	02:00	Tape B	40279	printed	20250611072342
1	Cosmic Meadow	23:15	00:30	RL Grime	40256	printed	20250611072342
1	Cosmic Meadow	22:00	23:15	ARMNHMR	40097	printed	20250611072342
1	Cosmic Meadow	21:00	22:00	Trivecta	40287	printed	20250611072342
1	Cosmic Meadow	20:00	21:00	CHYL	40126	printed	20250611072342
1	Cosmic Meadow	19:00	20:00	Daniel Allan	40137	printed	20250611072342
1	Cosmic Meadow	17:30	19:00	Sosa B2B Classmatic	41240	printed	20250611072342
1	Cosmic Meadow	17:00	17:30	Baggi	41933	printed	20250611072342
1	Circuit Grounds	04:30	05:30	Layton Giordani	40197	printed	20250611072342
1	Circuit Grounds	03:30	04:30	Eli Brown	40159	printed	20250611072342
1	Circuit Grounds	02:00	03:30	Cloonee	40130	printed	20250611072342
1	Circuit Grounds	00:30	02:00	Tiësto	40283	printed	20250611072342
1	Circuit Grounds	23:00	00:30	Mochakk	40225	printed	20250611072342
1	Circuit Grounds	21:30	23:00	Armand Van Helden	40095	printed	20250611072342
1	Circuit Grounds	20:15	21:30	Max Styler	40217	printed	20250611072342
1	Circuit Grounds	19:00	20:15	Annicka	40091	printed	20250611072342
1	Neon Garden	04:00	05:30	Hot Since 82	40174	printed	20250611072342
1	Neon Garden	02:15	04:00	Adam Ten B2B Mita Gami	40073	printed	20250611072342
1	Neon Garden	00:30	02:15	BLOND:ISH	40113	printed	20250611072342
1	Neon Garden	23:15	00:30	Skepta Más Tiempo	40269	printed	20250611072342
1	Neon Garden	22:00	23:15	Ben Sterling B2B Rossi.	40258	printed	20250611072342
1	Neon Garden	20:15	22:00	Airrica	40078	printed	20250611072342
1	Neon Garden	19:00	20:15	Masha Mar	40214	printed	20250611072342
1	Basspod	04:30	05:30	Distinct Motive	40149	printed	20250611072342
1	Basspod	03:30	04:30	Simula	40268	printed	20250611072342
1	Basspod	02:30	03:30	Caspa B2B Rusko	40119	printed	20250611072342
1	Basspod	01:30	02:30	Sullivan King	40277	printed	20250611072342
1	Basspod	00:30	01:30	Riot Ten	40255	printed	20250611072342
1	Basspod	23:30	00:30	Apashe	40093	printed	20250611072342
1	Basspod	22:30	23:30	Andy C	40089	printed	20250611072342
1	Basspod	21:30	22:30	Kompany	40188	printed	20250611072342
1	Basspod	20:40	21:30	AHEE	40076	printed	20250611072342
1	Basspod	19:50	20:40	Basstripper B2B Sota	40102	printed	20250611072342
1	Basspod	19:00	19:50	Andromedik	40088	printed	20250611072342
1	Wasteland	04:30	05:30	AniMe	40150	printed	20250611072342
1	Wasteland	03:30	04:30	Shlømo	40265	printed	20250611072342
1	Wasteland	02:30	03:30	Basswell	40103	printed	20250611072342
1	Wasteland	01:30	02:30	OGUZ	40237	printed	20250611072342
1	Wasteland	00:30	01:30	Cera Khin	40120	printed	20250611072342
1	Wasteland	23:30	00:30	6ejou	40072	printed	20250611072342
1	Wasteland	22:30	23:30	Onlynumbers	40241	printed	20250611072342
1	Wasteland	21:30	22:30	BIIA	40109	printed	20250611072342
1	Wasteland	20:30	21:30	Caravel	40117	printed	20250611072342
1	Wasteland	19:00	20:30	Clawz	40129	printed	20250611072342
1	Quantum Valley	04:00	05:30	Yoji Biomehanika	40302	printed	20250611072342
1	Quantum Valley	03:00	04:00	Omiki	40238	printed	20250611072342
1	Quantum Valley	02:00	03:00	David Rust	40141	printed	20250611072342
1	Quantum Valley	01:00	02:00	Avalon	40101	printed	20250611072342
1	Quantum Valley	00:00	01:00	Vini Vici	40292	printed	20250611072342
1	Quantum Valley	23:00	00:00	Marie Vaunt	40211	printed	20250611072342
1	Quantum Valley	22:00	23:00	Victor Ruiz	40290	printed	20250611072342
1	Quantum Valley	21:00	22:00	Paul Oakenfold	40245	printed	20250611072342
1	Quantum Valley	20:00	21:00	David Forbes	40140	printed	20250611072342
1	Quantum Valley	19:00	20:00	Mr. Brooks	40226	printed	20250611072342
1	Stereo Bloom	04:30	05:30	Ky William	40190	printed	20250611072342
1	Stereo Bloom	03:15	04:30	VNSSA	40294	printed	20250611072342
1	Stereo Bloom	02:00	03:15	Biscits	40111	printed	20250611072342
1	Stereo Bloom	00:45	02:00	Disco Dom	40147	printed	20250611072342
1	Stereo Bloom	23:30	00:45	Matroda & Friends	41239	printed	20250611072342
1	Stereo Bloom	22:15	23:30	Omnom	40239	printed	20250611072342
1	Stereo Bloom	21:15	22:15	Kyle Watson	40191	printed	20250611072342
1	Stereo Bloom	20:00	21:15	Jackie Hollander	40184	printed	20250611072342
1	Stereo Bloom	19:00	20:00	Linska	40204	printed	20250611072342
1	Bionic Jungle	04:00	05:30	Boys Noize	40115	printed	20250611072342
1	Bionic Jungle	02:30	04:00	X CLUB.	40298	printed	20250611072342
1	Bionic Jungle	01:30	02:30	DJ Fuckoff	40151	printed	20250611072342
1	Bionic Jungle	00:30	01:30	MALUGI	40209	printed	20250611072342
1	Bionic Jungle	23:00	00:30	Narciss	40228	printed	20250611072342
1	Bionic Jungle	21:30	23:00	Skream B2B Partiboi69	40270	printed	20250611072342
1	Bionic Jungle	20:15	21:30	INVT	40180	printed	20250611072342
1	Bionic Jungle	19:00	20:15	Lake Hills	40193	printed	20250611072342
1	Bionic Jungle	17:00	19:00	Alex Chapman + Zoe Gitter	40080	printed	20250611072342
1	Forest House	04:00	05:30	PLS&TY	41782	printed	20250611072342
1	Forest House	03:00	04:00	Linney	41783	printed	20250611072342
1	Forest House	02:00	03:00	Lavern	41784	printed	20250611072342
1	Forest House	01:00	02:00	wes mills	41785	printed	20250611072342
1	Forest House	00:00	01:00	Silver Panda	41786	printed	20250611072342
