artist	day	stage
2AR	2	
999999999 (Acid Set)	3	
A Hundred Drums	2	
Adam Beyer B2B Layton Giordani	1	
Adam Beyer presents Drumcode	1	
ALLEYCVT	3	
Alves	2	
Andromedik	2	
Angel Fernandez	2	
Apashe	2	
Argy	1	
Armin van Buuren	1	
AYYBO	1	
Bad Girl Bailey	3	
Baggi	3	
BARELY ALIVE	2	
Bart Skils	1	
Beltran	2	
Ben Hemsley	2	
Ben Sterling	2	
BOLO	3	
Canabliss	1	
Carlos Mendoza	1	
Caspa (Sunset Set)	3	
Cassian	2	
Charlotte de Witte	3	
Chase & Status	3	
ChaseWest	2	
Chris Lake	1	
Circle K	1	
Cloonee	2	
Coco & Breezy	2	
Coco & Breezy	3	
Cole Knight	2	
Crankdat	2	
Crespo	1	
Deborah De Luca	3	
Discovery Project	3	
DJ Snake	2	
Dom Dolla	3	
Dombresky	2	
Dr. Greco	3	
DREYA V	2	
Eater	3	
Edgar V	1	
Edgar V	2	
Eli Brown	2	
Ely Oaks	2	
Ely Oaks	2	
Excision	2	
Flozone	3	
Funk Tribu	3	
Fury + MC Dino	2	
Gorgon City	1	
GorillaT	1	
Green Velvet B2B Alok (Sunset Set)	3	
Gryffin	1	
Hills	3	
HOL!	2	
Ina Nia	3	
Indira Paganotto	3	
INFEKT	2	
J Patron	2	
Jaden Bojsen	1	
James Hype	3	
Jesse James	3	
Jev	1	
Jev	1	
Juos	2	
Kai Wachi	2	
Kamino	1	
KASIA	1	
Kevin de Vries	1	
Knock2	3	
Korolova	3	
Ky William	3	
Łaszewo	3	
Lavern	1	
Leisan	2	
Leisan	3	
Leveltronics	3	
Loofy	2	
Loud Luxury	2	
Luke Dean B2B Ranger Trucco (Sunset Set)	1	
Luuk van Dijk	1	
Luuk van Dijk	1	
Lyon 808	1	
Maddy O'Neal	2	
Malóne	2	
Max Styler	3	
Miss Monique	1	
Monoky	1	
Morgan Seatree	1	
MPH	3	
Nico Moreno	3	
No Thanks	3	
Noise Mafia	3	
OKAYVAL	2	
Omnom	2	
ØTTA	3	
The Outlaw	3	
Porter Robinson (Sunset DJ Set)	1	
Prospa B2B KETTAMA	1	
Riordan	1	
RUDIM3NTAL	1	
San Pacho (Sunset Set)	2	
Sara Landry	1	
Seven Lions (Sunset Set)	3	
Slugg	1	
Slugg	3	
Sofi Tukker	3	
Sosa	2	
Sota	1	
Sub Focus (Sunset Set)	1	
Subtronics	3	
Tape B	1	
Tiësto (Sunset Set)	2	
Tiffy Vera	1	
Virtual Riot	1	
VOYD	1	
Wakyin	2	
Walker & Royce	2	
Westend	2	
Wilkinson	3	
Wooli	1	
Wuki	3	
YDG	3	
Zedd	2	
