artist	day	stage
Aaron Hiro	1	Danse Macabre
Airrica	1	The Cage
Alesso	2	The Big Top
Alignment	2	The Cage
All Rise	1	Danse Macabre
Alyssa Jolee	1	Feeding Grounds
Amelie Lens	2	The Cage
Ana Valdes B2B Who Is Hush	2	Danse Macabre
Angerfist	1	Feeding Grounds
Angrybaby	1	The Big Top
ARMNHMR Presents Passport	1	Beatbox Boombox Art Car
ATLiens	1	Sewer District
Audien	2	The Big Top
Bad Boombox	1	The Warehouse
Black Tiger Sex Machine	1	Sewer District
Brandon Elliot	2	Danse Macabre
Brennan Heart	1	Feeding Grounds
Chris Lorenzo	2	Feeding Grounds
Clawz B2B Luca Lush B2B Casska	1	Feeding Grounds
Control Freak	2	The Warehouse
CRAYZO	1	Beatbox Boombox Art Car
D. Zeledon B2B Redtape	1	Danse Macabre
Dani Thorne	1	Danse Macabre
Dax J B2B SPFDJ	2	The Cage
Dea Magna	2	Danse Macabre
deadmau5	1	The Big Top
Deorro	1	The Big Top
Dimitri Vegas	2	The Big Top
DJ Fantasyboi	2	Danse Macabre
DJ Irene	2	Danse Macabre
DJ Isaac	1	Feeding Grounds
DØMINA	1	Feeding Grounds
Don Jamal	1	Sewer District
Doozie	1	Casa Bacardi
Dr. Apollo	1	Danse Macabre
Dual Damage	1	Feeding Grounds
DZMA B2B Lost Wolves	1	Danse Macabre
Eater	1	Sewer District
Eli Brown	2	The Big Top
Ely Oaks	2	The Big Top
Etari	1	The Warehouse
Godlands	2	The Warehouse
Gryffin	1	The Big Top
Haavi	2	Danse Macabre
Hannah Laing	1	The Warehouse
Heart of Gold	1	Danse Macabre
Hex Cougar	2	Sewer District
Hex Cougar	2	Casa Bacardi
HNTR	2	Feeding Grounds
Insical	2	Danse Macabre
IZNYRS	2	Beatbox Boombox Art Car
J. Worra	2	Feeding Grounds
J.Patron	1	Casa Bacardi
Jaden Bojsen	2	The Big Top
Jawns	2	The Warehouse
Jessica Audiffred	1	Sewer District
Jev	1	The Big Top
Jev	1	Casa Bacardi
John Bryars	2	The Cage
Johnny Chay	2	Beatbox Boombox Art Car
Juos	2	Casa Bacardi
Justin Jay	1	The Warehouse
Kayzo	1	Feeding Grounds
Keenan Mathias	2	The Warehouse
Klangkuenstler	2	The Cage
Korolova	1	The Big Top
KSHMR B2B R3HAB	2	The Big Top
Kstko	1	Danse Macabre
LAYZ	1	Sewer District
Lyon 808	1	Casa Bacardi
MADGRRL	1	Feeding Grounds
Malóne	1	The Cage
Malóne	1	Casa Bacardi
Maneki	1	The Big Top
Mango & Ginger	1	Casa Bacardi
Manolo	1	The Cage
Marco Strous	2	Feeding Grounds
Mark Lizaola	2	Danse Macabre
Marshmello B2B DJ Snake	1	The Big Top
Matroda	2	Feeding Grounds
Mena¢e	1	Beatbox Boombox Art Car
mischluft	1	The Warehouse
Mish	1	Feeding Grounds
Moody Good	2	Sewer District
Moore Kismet	2	The Warehouse
Morelia	1	Danse Macabre
NGHTMRE B2B Peekaboo	2	Sewer District
Nic Vans	1	Beatbox Boombox Art Car
Nicole Moudaber B2B Ilario Alicante	1	The Cage
Nikita, the Wicked	2	Sewer District
Nikita, the Wicked	2	Casa Bacardi
NOMS	2	Beatbox Boombox Art Car
Ollie Lishman	1	The Warehouse
ONYVAA	2	The Cage
Ønyx	2	Danse Macabre
The Outlaw	2	Sewer District
Panteros666	1	The Warehouse
Papa Lu	2	Feeding Grounds
Papa Lu	2	Casa Bacardi
Pegassi	1	The Warehouse
Porter Robinson (DJ Set)	2	The Big Top
Ray Volpe	1	Sewer District
Reza	2	Casa Bacardi
RHOME	2	Beatbox Boombox Art Car
RL Grime	2	Sewer District
Rossy B2B Pauline Herr	2	The Warehouse
Sacha Robotti	2	Danse Macabre
San Holo (Wholesome Riddim Set)	2	Sewer District
Secret Guest	2	The Warehouse
SENZA	2	Beatbox Boombox Art Car
SIDEPIECE	1	The Big Top
Sota	1	Sewer District
southstar	2	The Cage
TATTOOPUDGE B2B Death Simulator	1	Danse Macabre
Tavatli	1	Beatbox Boombox Art Car
Tej	1	Beatbox Boombox Art Car
TFTI	2	Beatbox Boombox Art Car
Tiffy Vera	2	Feeding Grounds
Tiffy Vera	2	Casa Bacardi
TroyBoi	2	Sewer District
Vintage Culture	1	The Cage
Virtual Riot	1	Sewer District
Wakyin	1	The Cage
Walker & Royce	2	Feeding Grounds
Wavedash	2	The Warehouse
wes mills	1	The Warehouse
What So Not	2	The Warehouse
Whethan	2	The Warehouse
Yeong	2	The Big Top
Zen Selekta	1	Sewer District
Zoey808	2	Sewer District
ARMNHMR		Feeding Grounds
San Holo (DJ Set)		Feeding Grounds
