day	stage	start	end	artist	openEnd
1	GOVBALLNYC	12:15	12:45	SCHOOL OF ROCK QUEENS	
1	GOVBALLNYC	13:15	13:45	BLACK PARTY	
1	GOVBALLNYC	14:15	14:45	ISABEL LAROSA	
1	GOVBALLNYC	15:30	16:15	BIGXTHAPLUG	
1	GOVBALLNYC	17:00	17:45	T-PAIN	
1	GOVBALLNYC	18:45	19:45	MK.GEE	
1	GOVBALLNYC	20:45		TYLER, THE CREATOR	1
1	KIEHL'S	12:45	13:15	STOLEN GIN	
1	KIEHL'S	13:45	14:15	JEAN DAWSON	
1	KIEHL'S	14:45	15:30	MANNEQUIN PUSSY	
1	KIEHL'S	16:15	17:00	TYLA	
1	KIEHL'S	17:45	18:45	THE BACKSEAT LOVERS	
1	KIEHL'S	19:45	20:45	BENSON BOONE	
1	THE GROVE	12:15	12:45	STRAWBERRY LAUNCH	
1	THE GROVE	13:15	13:45	DOGPARK	
1	THE GROVE	14:15	15:00	MATT CHAMPION	
1	THE GROVE	15:30	16:15	WASIA PROJECT	
1	THE GROVE	17:00	17:45	THE BEACHES	
1	THE GROVE	18:15	19:15	ROLE MODEL	
1	THE GROVE	19:45	20:45	JPEGMAFIA	
2	GOVBALLNYC	17:15	17:45	MARINA	
2	GOVBALLNYC	18:15	19:00	WALLOWS	
2	GOVBALLNYC	19:45	20:30	CONAN GRAY	
2	GOVBALLNYC	21:25		OLIVIA RODRIGO	1
2	KIEHL'S	16:45	17:15	ARTEMAS	
2	KIEHL'S	17:45	18:15	MARIAH THE SCIENTIST	
2	KIEHL'S	19:00	19:45	YOUNG MIKO	
2	KIEHL'S	20:30	21:25	FEID	
2	THE GROVE	16:45	17:15	THE LEMON TWIGS	
2	THE GROVE	17:30	18:00	ORION SUN	
2	THE GROVE	18:30	19:00	THE GARDEN	
2	THE GROVE	19:30	20:15	CAR SEAT HEADREST	
2	THE GROVE	20:45	21:30	WAVE TO EARTH	
3	GOVBALLNYC	12:00	12:30	KIDS ROCK FOR KIDS	
3	GOVBALLNYC	13:00	13:30	NOURISHED BY TIME	
3	GOVBALLNYC	14:00	14:30	JOEY VALENCE & BRAE	
3	GOVBALLNYC	15:15	16:00	RAYE	
3	GOVBALLNYC	16:45	17:30	ROYEL OTIS	
3	GOVBALLNYC	18:30	19:30	MT. JOY	
3	GOVBALLNYC	20:30		HOZIER	1
3	KIEHL'S	12:30	13:00	SNOW WIFE	
3	KIEHL'S	13:30	14:00	MILITARIE GUN	
3	KIEHL'S	14:30	15:15	AMAARAE	
3	KIEHL'S	16:00	16:45	THE JAPANESE HOUSE	
3	KIEHL'S	17:30	18:30	CLAIRO	
3	KIEHL'S	19:30	20:30	GLASS ANIMALS	
3	THE GROVE	12:15	12:45	OLIVIA LUNNY	
3	THE GROVE	13:15	13:45	KYLE DION	
3	THE GROVE	14:15	15:00	FROST CHILDREN	
3	THE GROVE	15:30	16:15	MARK AMBOR	
3	THE GROVE	16:45	17:30	BERLIOZ	
3	THE GROVE	18:00	19:00	MONTELL FISH	
3	THE GROVE	19:30	20:30	KEY GLOCK	
