day	stage	start	end	artist	openEnd
1	T-MOBILE	13:15	14:00	NOURISHED BY TIME	
1	T-MOBILE	15:00	16:00	DURAND BERNARR	
1	T-MOBILE	17:00	18:00	BARRY CAN'T SWIM	
1	T-MOBILE	19:00	20:00	GRACIE ABRAMS	
1	T-MOBILE	21:00		TYLER, THE CREATOR	1
1	DOLLAPALOOZA	12:00	12:45	DJ HEATHER	
1	DOLLAPALOOZA	12:55	13:50	TORREN FOOT B2B AIRWOLF PARADISE	
1	DOLLAPALOOZA	14:00	15:00	AZZECCA	
1	DOLLAPALOOZA	15:10	16:10	PROSPA	
1	DOLLAPALOOZA	16:20	17:20	THE BLESSED MADONNA	
1	DOLLAPALOOZA	17:50	18:50	CLOONEE	
1	DOLLAPALOOZA	19:00	20:00	MAU P	
1	DOLLAPALOOZA	20:30	21:45	DOM DOLLA	
1	LAKESHORE	12:30	13:15	THE SYMPOSIUM	
1	LAKESHORE	14:00	15:00	JULIE	
1	LAKESHORE	16:00	17:00	MATT CHAMPION	
1	LAKESHORE	18:00	19:00	MAGDALENA BAY	
1	LAKESHORE	20:00	21:00	ROYEL OTIS	
1	BONUS TRACKS	15:15	15:45	ALEX WARREN X DAVIS BURLESON	
1	BONUS TRACKS	17:00	17:30	HOW LONG GONE WITH THE DARE	
1	BONUS TRACKS	18:00	18:30	BOB'S DANCE SHOP	
1	KIDZAPALOOZA	12:00	12:30	23 SKIDOO & THE SECRET AGENCY	
1	KIDZAPALOOZA	13:30	14:00	SCHOOL OF ROCK	
1	KIDZAPALOOZA	15:00	15:30	MICHAEL & THE ROCKNESS MONSTERS	
1	KIDZAPALOOZA	17:15	17:45	JUSTIN ROBERTS & THE NOT READY FOR NAPTIME PLAYERS	
1	BMI	13:00	13:40	GIRL TONES	
1	BMI	14:10	14:50	ALEXSUCKS	
1	BMI	15:20	16:00	YANA	
1	BMI	16:30	17:10	BO STALOCH	
1	BMI	17:40	18:20	COLBY ACUFF	
1	BMI	18:50	19:30	XAVIERSOBASED	
1	THE GROVE	12:00	12:30	SILLY GOOSE	
1	THE GROVE	12:50	13:30	THE DROPTINES	
1	THE GROVE	13:50	14:30	BLACK PARTY	
1	THE GROVE	14:50	15:30	SUNAMI	
1	THE GROVE	16:00	16:45	FCUKERS	
1	THE GROVE	17:15	18:00	GLASS BEAMS	
1	THE GROVE	18:30	19:15	OVERMONO	
1	THE GROVE	19:45	20:30	2HOLLIS	
1	THE GROVE	21:00	22:00	XDINARY HEROES	
1	TITO'S HANDMADE VODKA	12:45	13:30	JADE LEMAC	
1	TITO'S HANDMADE VODKA	14:15	15:00	CHICAGO MADE	
1	TITO'S HANDMADE VODKA	15:45	16:45	HALF•ALIVE	
1	TITO'S HANDMADE VODKA	17:45	18:45	ROLE MODEL	
1	TITO'S HANDMADE VODKA	19:45	20:30	ALEX WARREN	
1	BUD LIGHT	13:30	14:15	RATBOYS	
1	BUD LIGHT	15:00	15:45	MARK AMBOR	
1	BUD LIGHT	16:45	17:45	SIERRA FERRELL	
1	BUD LIGHT	18:45	19:45	CAGE THE ELEPHANT	
1	BUD LIGHT	20:30	22:00	LUKE COMBS	
1	TOYOTA MUSIC DEN	14:00	14:30	BO STALOCH	
1	TOYOTA MUSIC DEN	15:00	15:30	GIRL TONES	
1	TOYOTA MUSIC DEN	16:00	16:30	SOFIA CAMARA	
1	TOYOTA MUSIC DEN	17:00	17:30	JADE LEMAC	
1	TOYOTA MUSIC DEN	18:00	18:30	YANA	
1	BUD LIGHT BACKYARD	15:00	16:30	MR. SHAW (DJ SET)	
1	BUD LIGHT BACKYARD	17:00	17:30	MARK AMBOR	
1	BUD LIGHT BACKYARD	17:30	19:00	DEROZA (DJ SET)	
2	T-MOBILE	13:15	14:00	TANNER ADELL	
2	T-MOBILE	14:45	15:40	GIGI PEREZ	
2	T-MOBILE	16:40	17:40	FOSTER THE PEOPLE	
2	T-MOBILE	18:40	19:40	DJO	
2	T-MOBILE	20:40		OLIVIA RODRIGO	1
2	PERRY'S	12:00	12:35	MARY DROPPINZ	
2	PERRY'S	12:40	13:15	HEX COUGAR	
2	PERRY'S	13:25	14:10	VIPERACTIVE	
2	PERRY'S	14:20	15:05	MURDA BEATZ	
2	PERRY'S	15:15	16:00	ALLEYCVT	
2	PERRY'S	16:15	17:15	BUNT.	
2	PERRY'S	17:45	18:45	TAPE B	
2	PERRY'S	19:00	20:00	ISOXO	
2	PERRY'S	20:30	21:45	KNOCK2	
2	LAKESHORE	12:30	13:15	DOGPARK	
2	LAKESHORE	14:00	14:45	ISABEL LAROSA	
2	LAKESHORE	15:40	16:40	RAVYN LENAE	
2	LAKESHORE	17:40	18:40	AMAARAE	
2	LAKESHORE	19:40	20:40	WALLOWS	
2	BONUS TRACKS	15:15	15:45	THE BINGO-GO-GO	
2	BONUS TRACKS	16:30	16:50	GIGI PEREZ X TATIANA MIRANDA	
2	BONUS TRACKS	17:45	18:15	HOW LONG GONE WITH THE BEAR'S COREY HENDRIX	
2	BONUS TRACKS	18:45	19:15	BOB'S DANCE SHOP	
2	KIDZAPALOOZA	12:00	12:30	MICHAEL & THE ROCKNESS MONSTERS	
2	KIDZAPALOOZA	13:30	14:00	23 SKIDOO & THE SECRET AGENCY	
2	KIDZAPALOOZA	15:00	15:30	JUSTIN ROBERTS & THE NOT READY FOR NAPTIME PLAYERS	
2	KIDZAPALOOZA	17:15	17:45	SCHOOL OF ROCK	
2	BMI	13:00	13:40	WINYAH	
2	BMI	14:10	14:50	CASSANDRA COLEMAN	
2	BMI	15:20	16:00	CAROLINE KINGSBURY	
2	BMI	16:30	17:10	MIDNIGHT GENERATION	
2	BMI	17:40	18:20	CAROL ADES	
2	BMI	18:50	19:30	STAR BANDZ	
2	THE GROVE	12:00	12:30	JESSE DETOR	
2	THE GROVE	12:50	13:30	OLD MERVS	
2	THE GROVE	13:50	14:30	HEY, NOTHING	
2	THE GROVE	14:50	15:30	ZINADELPHIA	
2	THE GROVE	16:00	16:45	ORLA GARTLAND	
2	THE GROVE	17:15	18:00	THE DARE	
2	THE GROVE	18:30	19:15	OCEAN ALLEY	
2	THE GROVE	19:45	20:30	WYATT FLORES	
2	THE GROVE	21:00	22:00	BLADEE	
2	TITO'S HANDMADE VODKA	12:00	12:45	ALEMEDA	
2	TITO'S HANDMADE VODKA	13:30	14:30	KENNY MASON	
2	TITO'S HANDMADE VODKA	15:30	16:30	DEL WATER GAP	
2	TITO'S HANDMADE VODKA	17:30	18:30	FLIPTURN	
2	TITO'S HANDMADE VODKA	19:30	20:30	MARY DROPPINZ	
2	BUD LIGHT	12:45	13:30	JANE REMOVER	
2	BUD LIGHT	14:30	15:30	OTOBOKE BEAVER	
2	BUD LIGHT	16:30	17:30	T-PAIN	
2	BUD LIGHT	18:30	19:30	BLEACHERS	
2	BUD LIGHT	20:30	22:00	KORN	
2	TOYOTA MUSIC DEN	14:00	14:30	CAROL ADES	
2	TOYOTA MUSIC DEN	15:00	15:30	OLD MERVS	
2	TOYOTA MUSIC DEN	16:00	16:30	HEY, NOTHING	
2	TOYOTA MUSIC DEN	17:00	17:30	CAROLINE KINGSBURY	
2	TOYOTA MUSIC DEN	18:00	18:30	MIDNIGHT GENERATION	
2	BUD LIGHT BACKYARD	16:00	17:30	LUCKY LOU (DJ SET)	
2	BUD LIGHT BACKYARD	18:00	18:30	ZINADELPHIA	
2	BUD LIGHT BACKYARD	18:30	20:00	KUPYD (DJ SET)	
3	T-MOBILE	13:10	13:55	SAM AUSTINS	
3	T-MOBILE	14:55	15:55	MAX MCNOWN	
3	T-MOBILE	16:55	17:55	MARINA	
3	T-MOBILE	18:55	19:45	DOECHII	
3	T-MOBILE	20:45		RÜFÜS DU SOL	1
3	PERRY'S	12:00	12:35	TESSLA	
3	PERRY'S	12:40	13:20	JEV	
3	PERRY'S	13:30	14:15	DANIEL ALLAN	
3	PERRY'S	14:30	15:15	LAYZ	
3	PERRY'S	15:30	16:30	FLUX PAVILION	
3	PERRY'S	16:45	17:45	DR. FRESCH	
3	PERRY'S	17:50	18:05	CHANCE THE RAPPER	
3	PERRY'S	18:15	19:15	LEVITY	
3	PERRY'S	19:30	20:30	CHASE & STATUS	
3	PERRY'S	20:45	21:45	TWO FRIENDS	
3	LAKESHORE	12:25	13:10	WINNETKA BOWLING LEAGUE	
3	LAKESHORE	13:55	14:55	CHARLOTTE LAWRENCE	
3	LAKESHORE	15:55	16:55	BOSSMAN DLOW	
3	LAKESHORE	17:55	18:55	CA7RIEL & PACO AMOROSO	
3	LAKESHORE	19:45	20:45	JPEGMAFIA	
3	BONUS TRACKS	15:15	15:45	THE BINGO-GO-GO	
3	BONUS TRACKS	18:00	18:30	DAMIANO DAVID X TATIANA MIRANDA	
3	KIDZAPALOOZA	12:00	12:30	BIRDS OF A FEATHER	
3	KIDZAPALOOZA	13:30	14:00	FYÜTCH & AURA V	
3	KIDZAPALOOZA	15:00	15:30	DIVINITY ROXX AND DIVI ROXX KIDS	
3	KIDZAPALOOZA	16:00	16:30	SPECIAL GUEST: THE HAPPINESS CLUB	
3	KIDZAPALOOZA	17:15	17:45	Q BROTHERS	
3	BMI	13:00	13:40	EDDIE AND THE GETAWAY	
3	BMI	14:10	14:50	CARTER VAIL	
3	BMI	15:20	16:00	RACHEL GRAE	
3	BMI	16:30	17:10	JUNIOR VARSITY	
3	BMI	17:40	18:20	ZOE KO	
3	BMI	18:50	19:30	PEOPLE R UGLY	
3	THE GROVE	12:00	12:30	LANDON CONRATH	
3	THE GROVE	12:50	13:30	DUA SALEH	
3	THE GROVE	13:50	14:30	SALUTE	
3	THE GROVE	14:50	15:30	OLE 60	
3	THE GROVE	16:00	16:45	NAOMI SCOTT	
3	THE GROVE	17:15	18:00	ORION SUN	
3	THE GROVE	18:30	19:15	BILMURI	
3	THE GROVE	19:45	20:30	DAMIANO DAVID	
3	THE GROVE	21:00	22:00	MK.GEE	
3	TITO'S HANDMADE VODKA	12:15	13:00	NEWDAD	
3	TITO'S HANDMADE VODKA	13:45	14:30	WASIA PROJECT	
3	TITO'S HANDMADE VODKA	15:30	16:30	MONTELL FISH	
3	TITO'S HANDMADE VODKA	17:30	18:30	FUJII KAZE	
3	TITO'S HANDMADE VODKA	19:30	20:30	CHICAGO YOUTH SYMPHONY	
3	BUD LIGHT	13:00	13:45	KICKFLIP	
3	BUD LIGHT	14:30	15:30	BÔA	
3	BUD LIGHT	16:30	17:30	YOUNG MIKO	
3	BUD LIGHT	18:30	19:30	CLAIRO	
3	BUD LIGHT	20:30	22:00	TWICE	
3	TOYOTA MUSIC DEN	14:00	14:30	LANDON CONRATH	
3	TOYOTA MUSIC DEN	15:00	15:30	NEWDAD	
3	TOYOTA MUSIC DEN	16:00	16:30	WINNETKA BOWLING LEAGUE	
3	TOYOTA MUSIC DEN	17:00	17:30	RACHEL GRAE	
3	TOYOTA MUSIC DEN	18:00	18:30	JUNIOR VARSITY	
3	BUD LIGHT BACKYARD	15:30	17:00	HEAVY (DJ SET)	
3	BUD LIGHT BACKYARD	17:30	18:00	MAX MCNOWN	
3	BUD LIGHT BACKYARD	18:00	19:30	ZILLION (DJ SET)	
4	T-MOBILE	13:30	14:15	LAILA!	
4	T-MOBILE	15:15	16:00	KATSEYE	
4	T-MOBILE	16:45	17:45	ISAIAH RASHAD	
4	T-MOBILE	18:45	19:45	DOMINIC FIKE	
4	T-MOBILE	20:45		SABRINA CARPENTER	1
4	PERRY'S	12:00	12:30	RAECOLA	
4	PERRY'S	12:45	13:30	JIGITZ	
4	PERRY'S	13:45	14:45	NIMINO	
4	PERRY'S	15:00	16:00	REBECCA BLACK	
4	PERRY'S	16:15	17:15	MARLON HOFFSTADT	
4	PERRY'S	17:45	18:45	SAMMY VIRJI	
4	PERRY'S	19:00	20:00	GRYFFIN	
4	PERRY'S	20:30	21:45	MARTIN GARRIX	
4	LAKESHORE	12:45	13:30	JOE P	
4	LAKESHORE	14:15	15:15	BOYNEXTDOOR	
4	LAKESHORE	16:00	16:45	MARIAH THE SCIENTIST	
4	LAKESHORE	17:45	18:45	FINNEAS	
4	LAKESHORE	19:45	20:45	STILL WOOZY	
4	BONUS TRACKS	15:15	15:45	THE SECOND CITY: COMEDY MIXTAPE VOL. 59	
4	BONUS TRACKS	17:30	17:50	KATSEYE INTERVIEW WITH DAVIS BURLESON	
4	BONUS TRACKS	18:15	18:45	BOB'S DANCE SHOP	
4	KIDZAPALOOZA	12:00	12:30	BIRDS OF A FEATHER	
4	KIDZAPALOOZA	13:30	14:00	DIVINITY ROXX AND DIVI ROXX KIDS	
4	KIDZAPALOOZA	15:00	15:30	Q BROTHERS	
4	KIDZAPALOOZA	16:00	16:30	SPECIAL GUEST: THE HAPPINESS CLUB	
4	KIDZAPALOOZA	17:15	17:45	FYÜTCH & AURA V	
4	BMI	13:00	13:40	BENCHES	
4	BMI	14:10	14:50	LEKAN	
4	BMI	15:20	16:00	SOFIA CAMARA	
4	BMI	16:30	17:10	ALIYAH'S INTERLUDE	
4	BMI	17:40	18:20	BLK ODYSSY	
4	BMI	18:50	19:30	GRAHAM BARHAM	
4	THE GROVE	12:00	12:30	KAICREWSADE	
4	THE GROVE	12:50	13:30	THE CRITICALS	
4	THE GROVE	13:50	14:30	VINCENT LIMA	
4	THE GROVE	14:50	15:30	WILLOW AVALON	
4	THE GROVE	16:00	16:45	LA FEMME	
4	THE GROVE	17:15	18:00	JOEY VALENCE & BRAE	
4	THE GROVE	18:30	19:15	MARIBOU STATE	
4	THE GROVE	19:45	20:30	ARTEMAS	
4	THE GROVE	21:00	22:00	LATIN MAFIA	
4	TITO'S HANDMADE VODKA	12:30	13:15	LANDON BARKER	
4	TITO'S HANDMADE VODKA	14:00	15:00	POST ANIMAL	
4	TITO'S HANDMADE VODKA	16:00	17:00	WAVE TO EARTH	
4	TITO'S HANDMADE VODKA	18:00	19:00	IAN	
4	TITO'S HANDMADE VODKA	20:00	20:45	REBECCA BLACK	
4	BUD LIGHT	13:15	14:00	FLOWEROVLOVE	
4	BUD LIGHT	15:00	16:00	WILD RIVERS	
4	BUD LIGHT	17:00	18:00	REMI WOLF	
4	BUD LIGHT	19:00	20:00	THE MARÍAS	
4	BUD LIGHT	20:45	22:00	A$AP ROCKY	
4	TOYOTA MUSIC DEN	14:00	14:30	THE DROPTINES	
4	TOYOTA MUSIC DEN	15:00	15:30	JOE P	
4	TOYOTA MUSIC DEN	16:00	16:30	THE CRITICALS	
4	TOYOTA MUSIC DEN	17:00	17:30	VINCENT LIMA	
4	TOYOTA MUSIC DEN	18:00	18:30	FLOWEROVLOVE	
4	BUD LIGHT BACKYARD	16:00	17:30	CHACHI (DJ SET)	
4	BUD LIGHT BACKYARD	18:00	18:30	WILD RIVERS	
4	BUD LIGHT BACKYARD	18:30	20:00	GOO (DJ SET)	
