artist	day	stage
33 Below	2	Aurora Plains
[IVY]	2	Dawn Mountain
AC Slater B2B Tchami	2	Aurora Plains
AHEE	2	Dawn Mountain
Airglo	2	Rave Cave
Anabel Englund	1	Aurora Plains
Andrew Lux	2	Aurora Plains
Apashe	2	Dawn Mountain
Archie Hamilton	1	Aurora Plains
ARMNHMR	1	Mystic Wild
Axwell	1	Mystic Wild
Benny Benassi (Sunset Set)	2	Mystic Wild
Biscits	2	Aurora Plains
Blake Webber	2	Beatbox Boombox Art Car
Blanke	2	Mystic Wild
BOLO	1	Mystic Wild
Brandon Elliot	1	Rave Cave
Candl	1	Rave Cave
Codeko	2	Beatbox Boombox Art Car
CoolHandLuke	1	Beatbox Boombox Art Car
Cyclops B2B Calcium	1	Dawn Mountain
Danny Avila	1	Mystic Wild
Delta Heavy	1	Dawn Mountain
Dennis Ferrer	1	Aurora Plains
Dieselboy	2	Rave Cave
DJ Mandy	2	Mystic Wild
DJ Susan B2B Kaleena Zanders	2	Aurora Plains
Donald Glaude	1	Beatbox Boombox Art Car
Dr. Apollo	1	Rave Cave
Eric Prydz	1	Mystic Wild
Falko	1	Mystic Wild
Fester	1	Beatbox Boombox Art Car
Galantis	2	Mystic Wild
Grabbitz	1	Dawn Mountain
Harvard Bass	2	Mystic Wild
HOL!	1	Dawn Mountain
Infected Mushroom	1	Mystic Wild
ION (US)	2	Dawn Mountain
Jesse Brooks	1	Beatbox Boombox Art Car
Jessica Audiffred B2B Riot Ten	1	Dawn Mountain
JOHNJOSÉ	1	Rave Cave
Justin Hawkes	1	Rave Cave
Kai Wachi	2	Dawn Mountain
Kurei	1	Dawn Mountain
Ky William	1	Aurora Plains
Kyle Watson	2	Aurora Plains
Lavern	2	Mystic Wild
Leisan	1	Aurora Plains
Lenny V	1	Beatbox Boombox Art Car
Level Up	2	Dawn Mountain
LF SYSTEM	1	Aurora Plains
Liquid Stranger	1	Dawn Mountain
Ludz	2	Rave Cave
Malixe	2	Beatbox Boombox Art Car
Mark Lewis	1	Beatbox Boombox Art Car
Metrik B2B Grafix	1	Dawn Mountain
MK	1	Aurora Plains
NAR	2	Rave Cave
Neon Black	1	Rave Cave
Nostalgix	1	Mystic Wild
Not Not	2	Beatbox Boombox Art Car
OddKidOut	2	Beatbox Boombox Art Car
Oliver Heldens	2	Mystic Wild
Qlank	2	Beatbox Boombox Art Car
Roy Wilkins B2B El Monk	2	Rave Cave
Ruff Hauser	1	Rave Cave
San Pacho	2	Aurora Plains
Seven Lions	2	Mystic Wild
Shaded	1	Aurora Plains
Skanka	2	Rave Cave
Skream	1	Aurora Plains
Sullivan King	2	Dawn Mountain
TheConnect B2B Skonka	2	Rave Cave
Tom & Collins	2	Aurora Plains
Trice	1	Rave Cave
Waxtroda (Matroda B2B Wax Motif)	1	Mystic Wild
Wilkinson (Sunset Set)	2	Dawn Mountain
Wooli	1	Dawn Mountain
YDG	2	Dawn Mountain
Zedd	2	Mystic Wild
